,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1034,0.556,0.595,9,-4.51,1,0.0275,0.214,8.33e-05,0.125,0.144,104.001,audio_features,0rpIH5otu7ykvZPdcQuRPh,spotify:track:0rpIH5otu7ykvZPdcQuRPh,https://api.spotify.com/v1/tracks/0rpIH5otu7ykvZPdcQuRPh,https://api.spotify.com/v1/audio-analysis/0rpIH5otu7ykvZPdcQuRPh,266347,4
1035,0.645,0.741,6,-5.42,0,0.0489,0.288,4.04e-05,0.115,0.414,139.914,audio_features,5KmhARDh8FEU3Lj2UKYwqU,spotify:track:5KmhARDh8FEU3Lj2UKYwqU,https://api.spotify.com/v1/tracks/5KmhARDh8FEU3Lj2UKYwqU,https://api.spotify.com/v1/audio-analysis/5KmhARDh8FEU3Lj2UKYwqU,223269,4
1036,0.672,0.964,5,-2.076,0,0.128,0.0265,9.59e-05,0.379,0.493,125.959,audio_features,0xnBlKwiZlcab4Sjqg6rbl,spotify:track:0xnBlKwiZlcab4Sjqg6rbl,https://api.spotify.com/v1/tracks/0xnBlKwiZlcab4Sjqg6rbl,https://api.spotify.com/v1/audio-analysis/0xnBlKwiZlcab4Sjqg6rbl,187143,4
1037,0.501,0.655,7,-6.158,1,0.0807,0.0476,0.0,0.411,0.325,127.844,audio_features,1FQH8LMIsRvS3rqDaBzVU4,spotify:track:1FQH8LMIsRvS3rqDaBzVU4,https://api.spotify.com/v1/tracks/1FQH8LMIsRvS3rqDaBzVU4,https://api.spotify.com/v1/audio-analysis/1FQH8LMIsRvS3rqDaBzVU4,179531,4
1038,0.553,0.762,11,-3.687,1,0.0381,0.39,1.36e-06,0.204,0.207,125.968,audio_features,6J1wLLb7VvjuUxH0dbjZOZ,spotify:track:6J1wLLb7VvjuUxH0dbjZOZ,https://api.spotify.com/v1/tracks/6J1wLLb7VvjuUxH0dbjZOZ,https://api.spotify.com/v1/audio-analysis/6J1wLLb7VvjuUxH0dbjZOZ,259636,4
1039,0.661,0.888,6,-5.09,0,0.104,0.119,0.0,0.0996,0.873,160.034,audio_features,01wKd1E13MNfjuKg2sfpDw,spotify:track:01wKd1E13MNfjuKg2sfpDw,https://api.spotify.com/v1/tracks/01wKd1E13MNfjuKg2sfpDw,https://api.spotify.com/v1/audio-analysis/01wKd1E13MNfjuKg2sfpDw,194667,4
1040,0.832,0.838,1,-5.414,0,0.0421,0.0791,0.0,0.152,0.965,100.021,audio_features,5fRvePkRGdpn2nKacG7I6d,spotify:track:5fRvePkRGdpn2nKacG7I6d,https://api.spotify.com/v1/tracks/5fRvePkRGdpn2nKacG7I6d,https://api.spotify.com/v1/audio-analysis/5fRvePkRGdpn2nKacG7I6d,218733,4
1041,0.469,0.885,11,-4.873,0,0.11,0.00107,0.0,0.367,0.33,154.765,audio_features,6DiwQjTwC4NOulyhpXghI7,spotify:track:6DiwQjTwC4NOulyhpXghI7,https://api.spotify.com/v1/tracks/6DiwQjTwC4NOulyhpXghI7,https://api.spotify.com/v1/audio-analysis/6DiwQjTwC4NOulyhpXghI7,210453,4
1042,0.841,0.639,9,-6.052,0,0.0688,0.0156,0.0654,0.0545,0.675,99.002,audio_features,7EVk9tRb6beJLTHrg6AkY9,spotify:track:7EVk9tRb6beJLTHrg6AkY9,https://api.spotify.com/v1/tracks/7EVk9tRb6beJLTHrg6AkY9,https://api.spotify.com/v1/audio-analysis/7EVk9tRb6beJLTHrg6AkY9,241875,4
1043,0.74,0.945,0,-4.442,0,0.0889,0.123,0.0,0.112,0.629,130.015,audio_features,0lqYRbRiGc5oiCUW51JH5s,spotify:track:0lqYRbRiGc5oiCUW51JH5s,https://api.spotify.com/v1/tracks/0lqYRbRiGc5oiCUW51JH5s,https://api.spotify.com/v1/audio-analysis/0lqYRbRiGc5oiCUW51JH5s,312987,4
1044,0.581,0.765,1,-2.912,0,0.118,0.134,0.0,0.103,0.517,92.027,audio_features,6ItkmsAMKvcab9ikCN1TBW,spotify:track:6ItkmsAMKvcab9ikCN1TBW,https://api.spotify.com/v1/tracks/6ItkmsAMKvcab9ikCN1TBW,https://api.spotify.com/v1/audio-analysis/6ItkmsAMKvcab9ikCN1TBW,187664,4
1045,0.577,0.983,7,-1.821,0,0.0712,0.116,0.000316,0.149,0.216,128.011,audio_features,3VPNH1HKLVFFJe7KxiG07e,spotify:track:3VPNH1HKLVFFJe7KxiG07e,https://api.spotify.com/v1/tracks/3VPNH1HKLVFFJe7KxiG07e,https://api.spotify.com/v1/audio-analysis/3VPNH1HKLVFFJe7KxiG07e,179000,4
1046,0.976,0.92,10,-3.646,0,0.226,0.0152,0.0,0.331,0.913,128.037,audio_features,2IOvpCME5BWATj3KT1WPSD,spotify:track:2IOvpCME5BWATj3KT1WPSD,https://api.spotify.com/v1/tracks/2IOvpCME5BWATj3KT1WPSD,https://api.spotify.com/v1/audio-analysis/2IOvpCME5BWATj3KT1WPSD,184875,4
